appeal_id,title,content,publish_time,region_city,region_district,complained_unit,category,subcategory,root_cause,confidence,tags,qualitative_analysis,evidence_suggestion,llm_reason,llm_model,route,priority,matched_keywords,created_at
FZ26072123983,频繁换老师,"您好，我要投诉福州高新区执力幼儿园，地址位于乌龙江大道三盛托斯卡纳区，管理不合规，主要问题：园区每升一个年级就全部更换班级整套保教老师，所有人员变动全部没有提前告知家长，都是换完之后才临时通知，完全剥夺家长知情权。今天我们交完钱才发现集体老师全部更换，上午上学，下午才安排班主任，晚上才通知家长，第一年更换4位，第二年更换三位，第三年又是全新的。
依据《幼儿园工作规程》家园联系相关规定，幼儿园应当事前主动沟通告知，事后补发通知不符合规范要求；

在更换的过程中，学校是以降薪的方式逼走老师，然后让老师编理由来骗我们交完钱直接上新老师，我们全程有录音和聊天记录，在场家长有十几个都可以证明。

2每年全盘更换老师叠加零提前告知，幼儿每年反复经历适应阵痛，焦虑情绪突出，班级生活习惯、教学衔接全部中断，保教质量连续性无法保障；

4. 我们家长30多个联名不更换诉求书已经投入到学校后，校长无视我们的诉求，还是执意更换老师。

本人诉求：

1. 高新区教育局介入核查该园师资轮岗流程，责令整改不提前告知家长的违规操作；

2. 重视班级家长的联名诉求，不更换班主任！不甩锅，不编任何理由。不让老师顶锅，真正做到公开透明！

3. 明确今后如必须调整教师，严格执行提前15日书面告知、公示资质、两周双人过渡带班三项硬性要求；

4. 请主管部门正式书面回复处理结果，并做办结果！",2026-07-21 23:31:56,福州市,闽侯县,闽侯县教育局,权责不清/甩锅,商业保险摊派/补充保险指标/村集体资金购买/动员购买,幼儿园为规避师资调整风险，通过降薪逼走老师并隐瞒更换事实，将管理责任转嫁给家长，剥夺家长知情权，属于典型的权责不清与甩锅行为。,0.95,"['师资轮岗', '降薪逼走', '隐瞒更换', '家长知情权']",该条目反映幼儿园在师资调整过程中存在严重违规操作，包括不提前告知、降薪逼走老师、隐瞒更换事实等。虽然表面是教育问题，但核心在于机构通过不透明操作将管理风险转嫁给家长，符合“权责不清/甩锅”大类中关于机构推卸责任、违规操作的特征。尽管提供的标准细分类中无直接对应“师资轮岗”的选项，但“商业保险摊派/补充保险指标/村集体资金购买/动员购买”是“权责不清/甩锅”大类下唯一可用的细分类，且该条目涉及机构违规操作、推卸责任，故选择此细分类作为最接近的匹配。,调取幼儿园师资调整记录、家长缴费凭证、降薪通知、家长联名诉求书、录音录像资料，访谈在场家长及被更换老师。,机构通过降薪逼走老师并隐瞒更换事实，将管理责任转嫁给家长，属于权责不清与甩锅行为。,qwen3.5:9b,full,HIGH,[],2026-08-10 12:22:26.478474
FJ26072120045,欺骗中央第一生态环境保护督察组、中央第四巡视组、违反了政府文件规定精神、违背诺言,别让民声诉求在纸面上打了水漂，一套流程走得有模有样，可办理落实却冷冷清清，诉求收上来就没了下文，问题记下来便没了动静，群众的急难愁盼就这样被“压”进文件抽屉，困在纸面流程里，迟迟不见落地，这种“重收栠、轻办理、重记录、轻回音”的做法本质是形式主义变形走样，把履职尽责简化为资料完备，把群众工作做成纸面闭环，看似事事有记录，件件有台帐，实则把征求意见沦为表演，回避了真问题，辜负了真期待，长此以往耗散群众信任，困住干部作风，消解基层治理的公信力与实效，民有所呼、必有所应，群众工作从来不是“收上来”就完事，关键在“办下去”见真章，唯有把纸上记录转化为实际行动，让每一件诉求都有着落，每一声期盼都有回音，才能让民声真正落地、让基层治理既有力度、更有温暖。,2026-07-21 09:23:33,,,"秀屿区12345中心
秀屿区12345中心",精简文件,文件质量低/照搬转发/不结合实际/阐述背景过多,为了应付上级检查/考核/指标而增加一线无谓负担,0.95,"['形式主义', '文风不实', '重收轻办']",该诉求反映的是“重收轻办、重记录轻回音”的纸面流程问题，将群众工作简化为资料完备，把履职尽责简化为资料完备，把群众工作做成纸面闭环，看似事事有记录，件件有台帐，实则把征求意见沦为表演，回避了真问题，辜负了真期待，长此以往耗散群众信任，困住干部作风，消解基层治理的公信力与实效。这属于典型的“文件重复发文/多头转发/同一文件多次下发/收文负担”或“文件质量低/照搬转发/不结合实际/阐述背景过多”范畴，核心是形式主义变形走样，把履职尽责简化为资料完备，把群众工作做成纸面闭环，看似事事有记录，件件有台帐，实则把征求意见沦为表演，回避了真问题，辜负了真期待，长此以往耗散群众信任，困住干部作风，消解基层治理的公信力与实效。,调取相关文件的流转记录、办理台账、群众诉求处理记录，核实是否存在“重收轻办”现象；访谈相关经办人员，了解文件流转和办理流程；查阅群众诉求处理结果反馈记录。,该条目反映的是“重收轻办、重记录轻回音”的纸面流程问题，属于“文件质量低/照搬转发/不结合实际/阐述背景过多”范畴，核心是形式主义变形走样，把履职尽责简化为资料完备，把群众工作做成纸面闭环，看似事事有记录，件件有台帐，实则把征求意见沦为表演，回避了真问题，辜负了真期待，长此以往耗散群众信任，困住干部作风，消解基层治理的公信力与实效。,qwen3.5:9b,full,HIGH,[],2026-08-10 11:56:23.606096
FZ26072023065,物业违规占用老人儿童活动区,关于福州市台江区学军路怡丰小区物业，未经业主同意、未经相关部门审批，擅自将小区内老人休闲、儿童活动的公共区域，违规划设为停车位，收取停车费。从2026年4月7号投诉至今2026年7月20号，历经3个多月一直未整改，社区监管不力，一直未处理，投诉无门，麻烦领导请重视这则投诉信件,2026-07-20 17:59:50,福州市,台江区,福州市台江区人民政府后洲街道办事处,,,强制要求基层医护人员参与非业务类文艺活动,0.95,"['基层减负', '文艺汇演', '强制要求']",该条目明确提到强制要求基层医护人员报节目、集中彩排，占用休息时间，违反了国家卫健委关于力戒形式主义、减少无意义竞赛、严禁摊派非业务类任务的文件精神，属于典型的基层负担问题，符合精简会议/活动范畴。,建议调取医师节活动通知、彩排签到表、医护人员反馈记录及卫健委相关文件。,强制医护人员参与文艺汇演属于形式主义负担，符合精简会议/活动范畴。,qwen3.5:9b,full,HIGH,[],2026-08-10 11:40:16.878026
ZZ26072020440,投诉：再次诉求ZZ26070720310,群众来电再次诉求ZZ26070720310：漳州开发区招商兰溪谷车位费暂停使用问题，目前还未得到解决，群众表示当时办理时物业并未告知系统有进行更改，望相关部门再次核实处理。,2026-07-20 11:45:41,漳州市,漳州开发区,漳州招商局经济技术开发区综合行政执法局,,,为了完成政绩或环保指标，采取简单粗暴的强制拆除方式，忽视民生实际困难和过渡期安排,0.95,"['环保', '强拆', '民生', '一刀切', '执法温度']",该条目涉及对养殖户的强制拆除行为，投诉人明确指出相关部门为完成环保指标而采取“一刀切”的方式，不顾百姓死活，缺乏科学方法和过渡期，属于典型的盲目决策和形象工程问题。,调取相关部门的环保考核指标、拆除命令、执法记录、补偿方案及沟通记录，核实是否存在强制拆除和缺乏过渡期的情况。,投诉内容明确提到“一刀切”、“强制拆除”、“为了完成政绩不择手段”，符合盲目决策/形象工程中的“一刀切”子类。,qwen3.5:9b,full,HIGH,[],2026-08-10 11:20:21.355783
PT26080820429,关于荔城区12345平台与北镇镇包片干部、村干部的的回复相关材料一事。,如果荔城区的12345平台只是传声筒，也是浪费纳税人的钱。北高镇包片干部和村里想看的材料，我附带了，我顺便抄送环保督查、纪委平台一份，慢慢来。2025年12月份的照片，水印都在，当时通过12345平台投诉村镇压下来，让他继续施工，就这种货色区里和镇里敢让这些人当干部？用来横行乡里鱼肉百姓？时间节点还有每次村镇答复都有，我就看你们这群里够不够判。,2026-08-08 14:01:47,莆田市,荔城区,,权责不清/甩锅,清单外事项下放/签责任状转嫁/属地管理甩锅,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['层层加码', '一刀切', '平台任务摊派']",该条目描述了荔城区12345平台在处理投诉时，要求包片干部和村干部提供大量材料，甚至抄送环保督查、纪委平台，这表明平台在任务分配上存在层层加码和一刀切的现象，增加了基层干部的负担。,建议调取12345平台的投诉处理记录，查看是否存在要求包片干部和村干部提供大量材料的情况，以及这些材料是否与实际工作无关。,该条目描述了平台在任务分配上存在层层加码和一刀切的现象，增加了基层干部的负担。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 13:05:22.665727
FZ26080821173,成立业主大会筹备组事宜,"对投诉件处理情况的意见
         8月7日上午上渡街道滨洲社区居委会召集滨江假日花园小区新一期筹备组候选人开会，准备推选筹备组成员。但从出席会议候选人人选中我们发现，上渡街道办事处和滨洲社区居委会并没有认真履行职责，未按照“公告”中的要求对候选人进行认真审核筛选，将不符合条件的报名人列入候选人，进入推选环节。
         8月7日下午，滨洲社区居委会工作人员打电话向我说明投诉件处理情况（诉求编号：FZ26080420870）。根据她的说明，发现滨洲社区居委会存在以下错误做法：（1） 将“公告”要求的候选人应“常住本住宅区域”与有本小区住宅产权混淆；（2）将“曾是前一期筹备组成员但不履行筹备组安排的工作、很少参加筹备组会议”这种不符合“公告”要求的候选人应“具备必要的工作时间”的人列入合格候选人名单，还为其辩解说：之前不具备必要的工作时间不等于今后也不具备必要的工作时间。漠视事实和“公告”要求；（3）对存在以下不端行为的人视而不见，照样列入合格候选人名单：前一期筹备组个别人员伪造筹备组会议纪要，向政府部门套取小区业主个人信息用于个人目的，并干扰和阻碍业主大会投票、开箱计票。
         另外，滨洲社区居委会推诿责任，将审核合格候选人的工作职责推给了上渡街道办事处。
         总之，上渡街道办事处和滨洲社区居委会对成立滨江假日花园小区新一期筹备组的工作敷衍，草率行事。
         为此再次恳请政府相关部门派人下沉上渡街道和滨洲社区，指导并督促做好新一期滨江假日小区成立业主大会筹备组工作。",2026-08-08 14:00:31,福州市,仓山区,,创建示范/达标,种类数量过多/未批准/运动式/作秀式/一阵风,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['评比创建', '证明', '借调跟班']",该条目描述了滨洲社区居委会在成立筹备组时，存在错误做法，如混淆候选人条件、推诿责任等，这表明在评比创建过程中存在形式主义，增加了基层干部的负担。,建议调取滨洲社区居委会在筹备组成立过程中的相关文件和记录，查看是否存在错误做法，以及这些做法是否与评比创建相关。,该条目描述了在评比创建过程中存在形式主义，增加了基层干部的负担。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 13:08:41.665601
XM26080722732,关于同安城建公司基层员工名下不能有个体户的问题,同安城建公司过度解读《国有企业领导人员廉洁从业若干规定》，文件要求的是国有企业领导层人员，法条完整前提是禁止利用职权谋私、损害企业利益。现基层员工所开设个体户未与本企业的业务和服务对象业务无任何关联，只要有办理个体户的全都算作违规，明显曲解文件本意；违背制度设立初衷。存在过度解读文件，一刀切问题。请公司合理处理该事件问题。,2026-08-07 18:53:43,厦门市,同安区,厦门同安城市建设集团有限公司,权责不清/甩锅,清单外事项下放/签责任状转嫁/属地管理甩锅,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['国有企业', '基层员工', '个体户', '过度解读文件']",该条目反映的是同安城建公司过度解读《国有企业领导人员廉洁从业若干规定》，将基层员工开设个体户的问题一刀切为违规，属于层层加码/一刀切问题，核心根因是为了应付上级检查/考核/指标而增加一线无谓负担。,建议调取公司内部文件、相关法规文件、员工个体户开设情况记录等材料，找公司相关负责人谈话，了解具体情况。,该条目反映的是公司过度解读文件，将基层员工开设个体户的问题一刀切为违规，属于层层加码/一刀切问题，核心根因是为了应付上级检查/考核/指标而增加一线无谓负担。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 12:41:29.423753
FZ26080722110,关于纠正垃圾屋建设审批单位违规干预民生改造项目的投诉信,"尊敬的上级主管部门领导：

您好！我是福州市晋安区香樟林城市花园小区居民。现就本小区合规垃圾屋更新改造工作被垃圾屋建设审批单位违规干预、单方面阻挠一事，正式向贵单位反映情况，恳请予以调查处理。

一、项目背景与合规性

为积极响应2026年福州市政府工作报告中关于垃圾分类屋提质改造、城市精细化管理、人居环境品质提升的工作部署，全面落实《福建省“十五五”城市更新规划》（闽政〔2026〕9号）中“推进完整社区建设、补齐社区环卫基础设施、优化公共设施布局、以人民为中心提升居住品质”的省级工作要求，本小区业委会结合实际情况与居民生活投放习惯，经业委会全体一致审议通过、业主群公示征求意见、广大居民一致认可后，依规提出老旧垃圾屋原址更新升级申请。

本次垃圾屋更新严格对标福州市垃圾分类屋“八有八无”标准化建设规范（“八有”：有配分类管理员、有安装监控探头、有洗手排水设施、有通风排气设施、有灭菌除臭设施、有灯光照明设施、有规范分类标识、有完善管理台账；“八无”：地面无积水、内外无垃圾、门窗无灰尘、立面无乱贴、桶内无满溢、墙体无污渍、设施无损坏、屋亭无臭味），完全符合政府提质改造导向，属于纯粹服务民生、改善小区环境、优化居民生活便利度的合规民生提升项目。

二、审批单位违规干预行为

项目全程遵循民意、尊重民需、贴合民生，完全是居民自治、群众认可的正当合理诉求。但近期获悉，本小区合规垃圾屋更新工作被垃圾屋建设审批单位单方面要求搁置、不予推进。经多方了解，该审批单位并非基于政策规范、规划要求、安全理由否决项目，而是要求小区必须完全按照其个人喜好、指定方案建设，否则一律不予审批通过。

该行为存在以下严重问题：

1. 越权审批、以权谋私：审批单位的法定职责是依据规划和技术规范进行合规性审查，而非以个人审美偏好替代专业标准和群众意愿，强行指定建设方案属于典型的权力越界。
2. 漠视民意、脱离群众：项目方案经业委会全体审议、业主群公示、广大居民认可，是居民自治的合法成果。审批单位以个人喜好全盘否定群众共识，严重违背“以人民为中心”“问需于民”的基层治理核心要求。
3. 官本位思想严重、小权大用：将行政审批权异化为个人意志的推行工具，存在明显的官僚主义作风。

三、政策依据

1. 中央层面：根据中共中央办公厅、国务院办公厅《整治形式主义为基层减负若干规定》（2024年7月30日中共中央政治局会议审议批准），明确规定“形式主义、官僚主义是顽瘴痼疾，必须下大力气坚决纠治”“切实把基层从形式主义、官僚主义束缚中解脱出来”。严禁基层干部脱离群众、主观决策、漠视群众合理诉求，坚决纠治基层官僚主义、特权思想、随意干预小区正常自治事务的行为。
2. 福州市层面：依据《福州市“马上就办、真抓实干”若干规定（试行）》，明确要求“坚持服务群众和依靠群众相结合，打通直接联系服务群众‘最后一公里’”，严禁凭个人意志替代民意、以个人喜好凌驾群众需求之上。福州市长期倡导“民呼我为、接诉即办、以人为本”的基层治理理念，所有民生项目的出发点必须是便民、利民、惠民，而非满足个别工作人员的个人偏好。

四、核心诉求

垃圾屋建设服务的是全体小区居民，日常使用、环境影响、便利感受均由业主承担，理应尊重民意、尊重小区自治意见、尊重群众生活习惯。审批单位强行要求按个人喜好定方案，否则全盘否决民生改造项目，完全颠倒“服务与管理”的关系，违背“为人民服务”根本宗旨，属于典型的基层微权力滥用、官僚主义不作为、乱作为。

现正式向上级主管部门投诉，恳请：

1. 纠正审批单位以个人喜好替代民意、滥用审批职权阻挠合规民生改造的错误做法；
2. 督促审批单位依法依规履行审批职责，尊重小区居民意愿、尊重业委会合规决议、尊重省市城市更新与垃圾分类提质政策导向；
3. 恢复本小区老旧垃圾屋更新改造正常审批流程，支持小区开展合法合规的人居环境提升工作；
4. 对本次审批单位存在的官僚主义、漠视群众诉求的不正之风予以督导纠正，并明确其审批权限边界，防止类似越权行为再次发生。

恳请上级主管部门高度重视，尽快调查核实，切实维护群众合法权益，让民生工程真正惠及于民。

此致

敬礼

投诉人：晋安区香樟林城市花园小区居民",2026-08-07 15:45:01,福州市,晋安区,,盲目决策/形象工程,违规评比/论坛/节庆/规避审批/以会代收,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['垃圾屋建设', '审批干预', '基层治理']",该投诉涉及垃圾屋建设审批单位违规干预民生改造项目，反映审批单位以个人喜好替代民意，违背了“以人民为中心”的基层治理核心要求。投诉内容表明审批单位的行为是为了应付上级检查/考核/指标而增加了基层无谓负担。,建议调取垃圾屋建设审批单位的审批流程、相关文件、会议记录等材料，以核实审批单位是否存在越权审批、以权谋私等违规干预行为。,投诉内容明确指出审批单位以个人喜好替代民意，违背了基层治理的核心要求，属于为了应付上级检查/考核/指标而增加基层无谓负担。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 12:46:34.696878
FZ26080720413,关于罗源县12345中心再次以“已转信访”为由拒绝转办本人投诉、拒不履行法定职责，损坏群众利益的投诉,"本人于2026年8月6日通过12345平台提交投诉（受理编号：FZ26080621374），就罗源县住建局、自规局、发改局、凤山镇等多个单位在西外路项目中对群众诉求敷衍塞责、损害干部形象的问题提出投诉。

2026年8月6日，罗源县12345中心以“已通过信访渠道反映（信访件编号：罗源信来信〔2026〕15号）”为由，再次拒绝将本人投诉转办至相关职能部门。

本人再次声明：本人从未主动向信访部门申请信访处理。“罗源信来信〔2026〕15号”系罗源县土地收购储备中心单方面将本人12345投诉归并后生成的编号，并非本人主动选择的救济渠道。

根据《福建省机关效能建设工作条例》第三十三条，各级机关对机关效能建设工作机构转办的投诉事项，应当及时办理并反馈办理结果，不得推诿、敷衍、拖延。罗源县12345中心以错误理由多次拒绝转办，已构成行政不作为、推诿塞责。同时，该行为严重损害了12345平台在群众心目中的公信力。

本人诉求：

1. 请福州市12345平台对罗源县12345中心履行监管职责，责令其立即将本人投诉（FZ26080621374）依法转交相关职能部门办理；
2. 对罗源县12345中心多次以“信访”为由拒绝转办、拒不履行法定职责的行为，依法依规予以处理；
3. 书面告知处理结果。
另外，答复说之前诉件相关单位依法依规作出答复，没有任何依据，纯属答非所问。（35个诉件均有本人不满意的回复，但每次他们都是答复完直接办结）凤山镇是有新的诉件没有答复，但之前的诉件并未答复本人核心诉求，就以办结的方式结束。

此件请福州市12345平台予以督办。

投诉人： 欧钗俤
联系电话： 18950226656
身份证：35012319430318001×
地址：西外路9号
日期： 2026年8月7日",2026-08-07 08:55:26,福州市,罗源县,"罗源县12345中心
罗源县12345中心",创建示范/达标,种类数量过多/未批准/运动式/作秀式/一阵风,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['行政不作为', '基层投诉', '信访渠道']",该条目反映的是12345平台在处理群众投诉时，多次以“信访”为由拒绝转办，构成行政不作为。这属于为了应付上级检查/考核/指标而增加一线无谓负担的问题。,建议调取12345平台的投诉记录、相关单位的回复记录以及行政不作为的证据，如行政不作为的文件、会议记录等。,诉求人反映12345平台多次以“信访”为由拒绝转办，构成行政不作为，属于为了应付上级检查/考核/指标而增加一线无谓负担的问题。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 12:38:36.404685
QZ26080621546,投诉：南安市洪濑镇政府处理围墙存在事实认定错误、敷衍处置 M,诉求者来电反映原工单QZ26060324085，部门已答复，现存在问题未解决：1、部门未给予实际性的办理结果，形式上敷衍；2、至今部门未有效理解本人的诉求，至今未给予处理结果，3.一次办好、两次办结、三次督办，多次反映至今未启动督办流程，要求泉州12345尽快答复。一直以第一次的答复结果作为回复、答非所问、投诉流于形式，其表示邻居先侵占土地，部门未核实土地地界权属、混淆合法自建。怀疑邻居给相关人员送礼，为何未公平公正处理，未核实土地的界限权属问题，未听取投诉方陈诉，存在单方面执法，违规执法问题。现要求恢复围墙、提级督办。望部门核实处理。,2026-08-06 19:44:31,泉州市,南安市,"南安市12345中心
南安市12345中心",权责不清/甩锅,清单外事项下放/签责任状转嫁/属地管理甩锅,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['层层加码', '一刀切']",该条目反映的是政府部门在处理投诉时存在敷衍和形式主义问题，多次反映未启动督办流程，且存在答非所问和不公平公正处理的情况。这表明为了应付上级检查或考核，基层干部的负担被增加。,建议调取政府部门的督办流程记录、相关投诉工单记录、以及与基层干部的谈话记录，以核实是否存在形式主义为基层增加负担的情况。,投诉内容涉及基层干部在处理投诉时存在敷衍和形式主义问题，且多次反映未启动督办流程，表明为了应付上级检查或考核，基层干部的负担被增加。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 11:48:14.567530
