appeal_id,title,content,publish_time,region_city,region_district,complained_unit,category,subcategory,root_cause,confidence,tags,qualitative_analysis,evidence_suggestion,llm_reason,llm_model,route,priority,matched_keywords,created_at
QZ26080621546,投诉：南安市洪濑镇政府处理围墙存在事实认定错误、敷衍处置 M,诉求者来电反映原工单QZ26060324085，部门已答复，现存在问题未解决：1、部门未给予实际性的办理结果，形式上敷衍；2、至今部门未有效理解本人的诉求，至今未给予处理结果，3.一次办好、两次办结、三次督办，多次反映至今未启动督办流程，要求泉州12345尽快答复。一直以第一次的答复结果作为回复、答非所问、投诉流于形式，其表示邻居先侵占土地，部门未核实土地地界权属、混淆合法自建。怀疑邻居给相关人员送礼，为何未公平公正处理，未核实土地的界限权属问题，未听取投诉方陈诉，存在单方面执法，违规执法问题。现要求恢复围墙、提级督办。望部门核实处理。,2026-08-06 19:44:31,泉州市,南安市,"南安市12345中心
南安市12345中心",形式主义为基层减负,层层加码/一刀切,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['层层加码', '一刀切']",该条目反映的是政府部门在处理投诉时存在敷衍和形式主义问题，多次反映未启动督办流程，且存在答非所问和不公平公正处理的情况。这表明为了应付上级检查或考核，基层干部的负担被增加。,建议调取政府部门的督办流程记录、相关投诉工单记录、以及与基层干部的谈话记录，以核实是否存在形式主义为基层增加负担的情况。,投诉内容涉及基层干部在处理投诉时存在敷衍和形式主义问题，且多次反映未启动督办流程，表明为了应付上级检查或考核，基层干部的负担被增加。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 11:48:14.567530
QZ26080621527,霞美镇 镇政府 工作人员不作为。乱作为。,"请介入调查霞美镇人民政府在12345平台 （诉求编号：QZ26062521072 ）作虚假回复、以及工作人员电话要求撤件并带威胁施压的问题。我有通话录音可随时提供，请追究相关责任人不作为、乱作为、干扰群众正常诉求的纪律责任。基层若此风一长，群众再无渠道反映真实问题。

霞美镇人民政府回复与事实严重不符：该镇在12345平台回复称“此前相关部门已经牵头为双方开展过协商……”，此说法完全虚假。事实是：火灾发生后，村里无人重视、无人组织协调，更无上级单位主动牵头调解。根本不存在所谓“协商过但未达成共识”的情况。该回复属于典型的不实陈述、敷衍塞责。

工作人员电话施压、带有威胁意味，要求撤回12345诉求：霞美镇人民政府相关人员曾致电与我沟通，我在通话中有完整录音。通话中对方明确要求我撤回已在12345平台的投诉文件，且言语间带有威胁、施压成分，一听即知是不作为、怕曝光、怕追责的心态，企图通过让受害者“撤件消音”来掩盖其失职。",2026-08-06 19:22:49,泉州市,南安市,"南安市12345中心
南安市12345中心",形式主义为基层减负,评比创建/证明/借调,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['评比创建', '证明', '借调']",该条目反映的是霞美镇人民政府在处理群众诉求时存在虚假回复、威胁施压等问题，属于评比创建/证明/借调类形式主义。基层干部在处理群众诉求时受到上级考核压力，导致不作为、乱作为，增加了基层负担。,建议调取霞美镇人民政府的回复记录、通话录音等材料，找相关工作人员谈话，核实是否存在虚假回复和威胁施压的情况。,该条目反映的是基层干部在处理群众诉求时受到上级考核压力，导致不作为、乱作为，增加了基层负担，属于评比创建/证明/借调类形式主义。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 11:48:47.715055
FJ26080620070,关于孤独症初筛任务基数以2025年年报数直接作为2026年初筛任务基数严重虚高，不符合实际反映,"内容：
近日收到关于孤独症儿童初筛工作的通知，要求以2025年妇幼健康年报7岁以下儿童数作为2026年“0-6岁儿童预估数”依据，并要求各乡镇于9月份完成初筛任务数100%。现结合基层实际，反映以下问题：

一、任务基数与实际应筛人群严重不符
通知要求采用2025年妇幼年报7岁以下儿童数，而孤独症初筛对象为2020年1月1日及以后出生的儿童。将2019年出生儿童要去除，近年来出生人口呈下降趋势，去除2019年出生人数后，实际可筛儿童明显少于往年。以2025年年报数直接作为2026年初筛任务基数，导致任务数虚高，脱离实际人数，市卫健委是否在暗示基层工作者要作假？是否与“应筛尽筛”的真实范围脱节？市卫健委能否走出办公室，看看实际情况？市卫健委的依旧是什么？

二、工作导向问题
当前安排更像是优先保证报表数据“完整、漂亮”，而非立足实际便民、科学推进。任务基数脱离真实应筛人群，基层只能在“完成任务”和“规范执行”之间两难。这种做法增加基层压力，也影响数据真实性和后续追访质量。

建议：
1.重新核实并调整任务基数，按2020年1月1日及以后出生、且达到应筛年龄的实际儿童数下达任务；
2.给予合理工作节奏，确保质量而非单纯追求完成率。",2026-08-06 09:46:41,泉州市,,泉州市卫生健康委员会,形式主义为基层减负,台账留痕迎检,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['台账留痕迎检', '任务基数虚高']",该条目反映的是任务基数与实际不符，导致基层压力增加，且工作导向偏向报表数据完整，而非实际工作质量。这表明为了应付上级检查而增加了基层负担。,建议调取2025年妇幼健康年报数据、2026年初筛任务基数下达文件、基层工作日志等材料，以核实任务基数虚高和工作导向问题。,该条目反映了任务基数与实际不符，导致基层压力增加，且工作导向偏向报表数据完整，而非实际工作质量。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 11:45:40.993179
XM26080620366,投诉市、海沧区两级12345未落实闽政办〔2016〕179号督办规定，长期草率办结群众不满意工单，恳请市政府、市机关效能办提级介入严查,"厦门市12345、海沧区12345两级热线处理本人多件诉求时，均仅简单以承办部门已出具“依法依规答复”为由直接办结工单，完全无视本人长期、多次标注的不满意评价，仅机械流转工单，拒不履行平台监督、跟踪督办法定职责。
 
依据闽政办〔2016〕179号文件明确要求，群众多次持续反映诉求、对处置结果长期不满意的事项，应当纳入重点督办事项闭环处置。本人数千次实名反馈范心琪事业单位招录相关问题，每笔工单均同步上传录音、书面档案等充足完整证据材料，但市、区两级12345平台长期只做单向转派，拒不按文件规定启动专项督办与整改核查。
其中海沧区教育局历次答复均答非所问、刻意避重就轻，企图依靠后期新修订的体检标准掩盖当事人早年入职隐瞒病史、违规聘用的既定违纪事实，严重违背法不溯及既往基本原则；海沧区人民政府未尽属地监管责任，厦门市人社局、厦门市信访局未履行行业督查、信访督办职责，多方放任基层单位敷衍回避案件核心争议，致使群众诉求长年循环空转、无法实质化解。
 
现郑重提出四点处置要求：
1、责令厦门市12345、海沧区12345严格落实闽政办〔2016〕179号全部条款，将本人所有相关历史工单统一列为重点督办事项，全程跟踪督办整改；
2、本次诉求同步分流转派至厦门市信访局、厦门市人社局、海沧区人民政府、海沧区教育局四家单位协同核查处置；
3、督办四家单位调取全套原始人事招录档案，全面重新核查全案事实，逐项正面回应本人全部核心争议诉求，严禁再次出现答非所问、避重就轻的敷衍式答复；
4、针对本次全程督办流程、各单位重新核查处置完整结果，向本人出具规范正式的书面反馈材料。",2026-08-06 09:06:16,厦门市,海沧区,"厦门市12345中心
厦门市12345中心",形式主义为基层减负,层层加码/一刀切,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['群众投诉', '工单处理', '督办规定']",该条目反映的是厦门市12345热线处理群众诉求时，仅简单以承办部门已出具“依法依规答复”为由直接办结工单，完全无视群众长期、多次标注的不满意评价，仅机械流转工单，拒不履行平台监督、跟踪督办法定职责。这反映了为了应付上级检查/考核/指标而增加一线无谓负担的情况。,建议调取厦门市12345热线的工单处理记录，查看是否存在仅机械流转工单而不进行实质处理的情况；同时，可以找相关工作人员了解具体处理流程和原因。,投诉内容主要集中在厦门市12345热线处理群众诉求时，仅简单以承办部门已出具“依法依规答复”为由直接办结工单，完全无视群众长期、多次标注的不满意评价，仅机械流转工单，拒不履行平台监督、跟踪督办法定职责。这反映了为了应付上级检查/考核/指标而增加一线无谓负担的情况。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 11:47:30.705081
FJ26080520223,举报福州市鼓楼区政府刘用全负责人信访数据造假、督办空转、堵截网上信访、失职渎职,"事件地点：数据造假罪加一等！福建省福州市鼓楼区政府（鼓楼区政府请收敛）知法犯法长期对我投诉件删除修改？


实名投诉：鼓楼区委书记刘用全纵容造假堵截信访通道
鼓楼区信访配合造假堵截，督办空转。恳请中纪委严查刘用全失管纵容造假，彻查堵截黑幕并严肃问责。

国信平台异常波及鼓楼区，暴露属地监管失控。
4月24日18:00至25日8:00公告维护。25日22:07我点开平台，仍显示24日旧公告，通道锁死。
26日8点后投递，至17:03仍显24日公告，服务未开。
更奇葩的是，维护未到18:00平台提前发布维护公告，公然造假。

4月25日晚至26日17:03，公告不撤、通道锁死、提前造假，行为恶劣、固定异常。
到今天26日17:03打开依然是周五公告，天大笑话，腐败公开叫板吗？

非技术故障，实为后台手动操作、内鬼上阵，蓄意阻断群众信访权利。
鼓楼区作为属地，刘用全身为第一责任人，对此恶性造假、通道堵截视而不见，监管严重失责，基层信访沦为摆设，损害政府公信力。",2026-08-05 22:10:42,福州市,鼓楼区,"鼓楼区12345中心
鼓楼区12345中心",形式主义为基层减负,台账/留痕/数据造假,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,['台账/留痕/数据造假'],该条目反映的是关于鼓楼区政府在国信平台上的数据造假、督办空转、堵截网上信访等问题，涉及为了应付上级检查/考核/指标而增加一线无谓负担的情况。投诉内容主要集中在对政府工作人员不作为的不满，以及对信访渠道的堵塞，反映了基层信访工作被形式主义所困扰。,建议调取国信平台的后台操作记录，查看是否有手动修改公告、封锁信访通道等行为；询问相关工作人员是否存在为了应付上级检查而进行数据造假的情况。,该条目涉及为了应付上级检查/考核/指标而增加一线无谓负担的具体情况，属于台账/留痕/数据造假类型。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 11:09:57.735493
FZ26080521973,F：就工单FZ26080420041再次催告,"12345中心局长
 
本人2026年08月04日提交全新工单FZ26080420041，附带法文质询内容，明确要求本件独立处置，禁止复用旧工单答复、禁止合并历史案件，严格执行防合并、防组合要求。
 
本次工单处置全程敷衍潦草，工作人员未完整研读工单内容，面对外文诉求内容，既不自主学习解读，也不向上级部门流转上报，直接套用老旧工单FZ26031822704的过期答复强行结案，属于典型形式主义敷衍办结。
 
无法识别、无法读懂外文诉求，不是糊弄群众、套用旧工单结案的借口。身为公职党员干部，本该主动提升业务能力、直面群众诉求、带头为群众排忧解难。现实却是群众反复告知办理规则，反向指导单位如何履职，干部不作为、不研判、不处置问题，完全背离党员服务群众的基本准则。
 
Ce nouveau dossier FZ26080420041 ne peut pas être traité par les anciennes réponses archivées. Le responsable du centre ignore le contenu de la demande en français, ne fait aucune analyse nouvelle et ferme le dossier arbitrairement. Ce comportement est un manquement au devoir professionnel et un traitement formaliste des demandes du peuple.
 
责令对FZ26080420041工单单独重启办理流程，全面重新研判诉求，开展实质性调查，彻底处置本次纠纷问题。
 
以旧工单答复应付新诉求，是该局长履职的重大败笔，带领团队以此方式糊弄老百姓，老百姓心中自有评判。后续我会持续提交工单，直至12345系统工单提交渠道上限。",2026-08-05 14:18:24,福州市,晋安区,"福州市12345中心
福州市12345中心",形式主义为基层减负,指尖形式主义,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['物流快递问题', '形式主义为基层减负']",该条目投诉工单处理过程中存在形式主义，工作人员未完整研读工单内容，直接套用旧工单答复，导致处理不力。这反映了为了应付上级检查/考核/指标而增加一线无谓负担的问题。,建议调取工单处理记录、工作人员培训记录、上级部门考核记录等材料，以核实是否存在形式主义现象。,投诉内容明确指出工单处理过程中存在形式主义，且工作人员未完整研读工单内容，直接套用旧工单答复，反映了为了应付上级检查/考核/指标而增加一线无谓负担的问题。,qwen2.5vl:7b,full,HIGH,[],2026-08-09 11:26:29.093754
FJ26080420247,举报福州市鼓楼区政府刘用全负责人信访数据造假、督办空转、堵截网上信访、失职渎职,"事件地点：数据造假罪加一等！福建省福州市鼓楼区政府（鼓楼区政府请收敛）知法犯法长期对我投诉件删除修改？


实名投诉：鼓楼区委书记刘用全纵容造假堵截信访通道
鼓楼区信访配合造假堵截，督办空转。恳请中纪委严查刘用全失管纵容造假，彻查堵截黑幕并严肃问责。

国信平台异常波及鼓楼区，暴露属地监管失控。
4月24日18:00至25日8:00公告维护。25日22:07我点开平台，仍显示24日旧公告，通道锁死。
26日8点后投递，至17:03仍显24日公告，服务未开。
更奇葩的是，维护未到18:00平台提前发布维护公告，公然造假。

4月25日晚至26日17:03，公告不撤、通道锁死、提前造假，行为恶劣、固定异常。
到今天26日17:03打开依然是周五公告，天大笑话，腐败公开叫板吗？

非技术故障，实为后台手动操作、内鬼上阵，蓄意阻断群众信访权利。
鼓楼区作为属地，刘用全身为第一责任人，对此恶性造假、通道堵截视而不见，监管严重失责，基层信访沦为摆设，损害政府公信力。",2026-08-04 21:29:27,,,,形式主义为基层减负,评比创建证明借调,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['评比创建', '证明', '借调']",该投诉涉及鼓楼区政府在信访数据造假、督办空转、堵截网上信访等问题，反映了基层信访工作被人为干扰，属于形式主义为基层增加负担的情况。,建议调取鼓楼区政府信访数据管理的相关记录，以及与信访工作人员的谈话记录，以核实是否存在数据造假、督办空转、堵截信访通道等问题。,投诉内容涉及信访数据造假、督办空转、堵截网上信访等问题，属于形式主义为基层增加负担的情况。,qwen2.5vl:7b,full,HIGH,[],2026-08-06 15:43:04.746379
LY26080420534,投诉：新罗区白沙镇政府让村干部摸排村民户籍信息的问题,诉求人来电反映新罗区白沙镇政府发了根据龙岩市新罗区人民政府办公室关于开展全区医保基础数据治理专项工作的通知，要统筹做好医保基础数据梳理汇总，安排各个村干部去开展户籍和常住人员信息全面摸排登记，户籍信息派出所就有，为什么要让村干部再次摸排？村干部去摸排很容易造成村民数据泄露和引发村民反感，希望不要让村干部去摸排户籍信息，只要摸排外来常住人员信息即可。,2026-08-04 16:59:31,龙岩市,新罗区,,形式主义为基层减负,层层加码/一刀切,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['层层加码', '一刀切']",该条目反映的是新罗区白沙镇政府要求村干部重复摸排户籍信息的问题，这可能是因为上级部门要求进行医保基础数据治理专项工作，导致基层负担增加。关键现象是重复工作和数据泄露风险，因果链条是上级要求-基层执行-增加负担。,建议调取新罗区人民政府办公室关于开展全区医保基础数据治理专项工作的通知，以及新罗区白沙镇政府的具体工作安排和执行情况，了解是否存在重复工作和数据泄露风险。,该条目反映了基层重复工作的问题，属于层层加码/一刀切的范畴，核心根因是为应付上级检查/考核/指标而增加一线无谓负担。,qwen2.5vl:7b,full,HIGH,[],2026-08-06 15:52:07.212955
ND26080420463,关于三都澳新区学校建设问题长期反映未得到有效解决，请求督查督办,"本人及广大业主自2024年以来，多次通过12345、市教育局、市信访局等渠道反映学校建设问题，但长期得到的回复基本一致，均为""等待资金""""正在推进""""方案优化""等内容，没有任何明确时间节点，也没有实质性进展。相关投诉记录及回复材料已整理成附件。

群众并非要求立即建成学校，而是希望政府能够依法公开项目真实进展，明确责任部门和时间安排。

因此，请市政府督查部门：

督查教育局、发改委、财政局等相关部门项目推进情况。
核查长期未推进的原因。
督促明确建设时间表。
督促相关部门避免长期使用模板式回复。",2026-08-04 15:31:38,宁德市,蕉城区,,形式主义为基层减负,层层加码/一刀切,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,"['层层加码', '一刀切']",该条目反映学校建设问题长期未解决，且回复多为模板式，表明存在层层加码和一刀切的问题，为了应付上级检查/考核/指标而增加一线无谓负担。,建议调取项目推进记录、回复材料、上级部门的检查记录等，以核实是否存在层层加码和一刀切的问题。,该条目反映学校建设问题长期未解决，且回复多为模板式，表明存在层层加码和一刀切的问题，为了应付上级检查/考核/指标而增加一线无谓负担。,qwen2.5vl:7b,full,HIGH,[],2026-08-06 15:56:38.447069
NP26080420342,村委不盖章,"情况反映

尊敬的相关主管部门领导：
您好！我是邵武市大竹镇谢敦村村民。因自家房屋楼顶存在漏雨问题，计划安装光伏项目，该项目政策说明安装不仅可解决屋顶漏水问题，每块光伏板还可享受450元补贴。按照办理要求，需要村委会出具证明并加盖公章，证实该房屋产权归我本人所有、我系本村村民。

我找到村书记张令飞申请办理该产权及村民身份证明盖章手续，遭到拒绝。该项目是我自行在外对接选择的业务，并非村内人员承接的光伏业务。在我申请盖章被拒后，发现了只有选择在本村人手上做光伏业务，村委会才给予盖章；若是自己在外找的业务，则不予盖章。

我作为本村合法村民，申请村委会出具证实本人房屋权属、本村村民身份的基础证明材料，本属于村委会应尽的工作职责，却因我没有选择村内人员承接的光伏业务就遭到拒办。出现“谁在本村人处做光伏就给谁盖章，在外自主选择服务商就不给盖章”的区别对待情况，利用盖章权限变相强制村民指定业务服务商，变相干预村民自主选择市场服务商的合法权利。

当前持续推进扫黑除恶、整治基层微腐败、整顿基层不作为乱作为的大背景下，发生此类利用村级公章设置办事门槛、变相裹挟村民选择特定业务的问题，性质较为恶劣，损害群众切身利益，恳请相关部门介入调查核实，督促村委会依规为我办理正常证明盖章手续，纠正该违规行为。",2026-08-04 13:22:56,南平市,邵武市,,形式主义为基层减负,评比创建证明借调,为了应付上级检查/考核/指标而增加一线无谓负担,0.9,['评比创建证明借调'],该条目反映的是村民在申请房屋产权及村民身份证明时，因选择的业务服务商不同而受到区别对待的情况。这属于利用村级公章设置办事门槛，变相干预村民自主选择市场服务商的合法权利，属于评比创建证明借调的范畴，增加了基层负担。,建议调取村委会盖章的记录，了解盖章的具体情况和政策背景，以及是否有相关文件或通知规定了盖章的条件。,该条目反映的是村民在申请房屋产权及村民身份证明时，因选择的业务服务商不同而受到区别对待的情况，属于评比创建证明借调的范畴，增加了基层负担。,qwen2.5vl:7b,full,HIGH,[],2026-08-06 16:00:17.634323
